Date,oil_price,usd_pkr_rate,7_day_avg_oil,7_day_avg_pkr,estimated_c_and_f_pkr,petrol_price_today,diesel_price_today,hobc_price_today,imf_pdl_shortfall,petrol_price_yesterday,base_import_liter_yesterday,c_and_f_delta_pkr,petrol_price_tomorrow,price_delta_tomorrow
2025-01-13,81.01000213623047,278.16534423828125,77.67,277.67,21566.63,317.72,344.4,372.3,67.93,316.37,134.29598960921336,1.35,318.66,0.94
2025-01-14,79.91999816894531,278.3999938964844,78.16,277.85,21716.76,318.66,345.34,373.24,67.93,317.72,135.6502663739803,0.94,320.23,1.57
2025-01-15,82.02999877929688,278.3999938964844,78.98,278.12,21965.92,320.23,346.91,374.81,67.93,318.66,136.59453917615906,1.57,321.3,1.07
2025-01-16,81.29000091552734,278.3999938964844,79.58,278.15,22135.18,321.3,347.98,375.88,67.93,320.23,138.16172139860493,1.06,322.5,1.2
2025-01-17,80.79000091552734,278.6000061035156,80.25,278.21,22326.35,322.5,349.18,377.08,67.93,321.3,139.2263329706202,1.2,323.01,0.51
2025-01-21,79.29000091552734,277.2745361328125,80.58,278.08,22407.69,323.01,349.69,377.59,67.93,322.5,140.42879292017585,0.51,322.92,-0.09
2025-01-22,79.0,278.5,80.48,278.25,22393.56,322.92,349.6,377.5,67.93,323.01,140.94036870939132,-0.09,322.25,-0.67
2025-01-23,78.29000091552734,278.3999938964844,80.09,278.28,22287.45,322.25,348.93,376.83,67.93,322.92,140.85151616169875,-0.67,321.9,-0.35
2025-01-24,78.5,278.6000061035156,79.88,278.31,22231.4,321.9,348.58,376.48,67.93,322.25,140.1840729116217,-0.35,320.55,-1.35
2025-01-27,77.08000183105469,276.65966796875,79.18,278.06,22016.79,320.55,347.23,375.13,67.93,321.9,139.83157616660483,-1.35,319.61,-0.94
2025-01-28,77.48999786376953,278.70001220703125,78.63,278.1,21867.0,319.61,346.29,374.19,67.93,320.55,138.4817047934737,-0.94,318.57,-1.04
2025-01-29,76.58000183105469,278.75,78.03,278.13,21702.48,318.57,345.25,373.15,67.93,319.61,137.53956612804822,-1.03,318.05,-0.52
2025-01-30,76.87000274658203,278.29998779296875,77.69,278.27,21618.8,318.05,344.73,372.63,67.93,318.57,136.5047702013372,-0.53,317.47,-0.58
2025-01-31,76.76000213623047,278.29998779296875,77.37,278.24,21527.43,317.47,344.15,372.05,67.93,318.05,135.97839005704867,-0.57,317.11,-0.36
2025-02-03,75.95999908447266,281.7514343261719,77.03,278.72,21469.8,317.11,343.79,371.69,67.93,317.47,135.40370470541617,-0.36,316.34,-0.77
2025-02-04,76.19999694824219,275.5766296386719,76.71,278.29,21347.63,316.34,343.02,370.92,67.93,317.11,135.04123984979907,-0.77,315.85,-0.49
2025-02-05,74.61000061035156,278.6000061035156,76.35,278.57,21268.82,315.85,342.53,370.43,67.93,316.34,134.2727763905225,-0.5,315.06,-0.79
2025-02-06,74.29000091552734,278.70001220703125,75.9,278.57,21143.46,315.06,341.74,369.64,67.93,315.85,133.77709812751985,-0.79,314.58,-0.48
2025-02-07,74.66000366210938,278.8999938964844,75.62,278.59,21066.98,314.58,341.26,369.16,67.93,315.06,132.98862800103154,-0.48,314.37,-0.21
2025-02-10,75.87000274658203,278.77093505859375,75.48,278.66,21033.26,314.37,341.05,368.95,67.93,314.58,132.50753709422784,-0.21,314.45,0.08
2025-02-11,77.0,278.75,75.51,278.72,21046.15,314.45,341.13,369.03,67.93,314.37,132.2954505714304,0.08,314.05,-0.4
2025-02-12,75.18000030517578,278.75,75.4,278.29,20983.07,314.05,340.73,368.63,67.93,314.45,132.3765288985892,-0.4,313.97,-0.08
2025-02-13,75.0199966430664,278.70001220703125,75.23,278.74,20969.61,313.97,340.65,368.55,67.93,314.05,131.97975935139354,-0.08,314.03,0.06
2025-02-14,74.73999786376953,279.0,75.25,278.8,20979.7,314.03,340.71,368.61,67.93,313.97,131.8951247586281,0.06,314.34,0.31
2025-02-18,75.83999633789062,277.6875,75.47,278.65,21029.72,314.34,341.02,368.92,67.93,314.03,131.95858780906616,0.31,314.7,0.36
2025-02-19,76.04000091552734,279.0,75.67,278.67,21086.96,314.7,341.38,369.28,67.93,314.34,132.27317642322956,0.36,314.89,0.19
2025-02-20,76.4800033569336,279.25,75.76,278.73,21116.58,314.89,341.57,369.47,67.93,314.7,132.63322724499488,0.19,314.26,-0.63
2025-02-21,74.43000030517578,279.1000061035156,75.39,278.78,21017.22,314.26,340.94,368.84,67.93,314.89,132.81956889557011,-0.62,314.12,-0.14
2025-02-24,74.77999877929688,278.0712890625,75.33,278.69,20993.72,314.12,340.8,368.7,67.93,314.26,132.19460836420586,-0.15,313.68,-0.44
2025-02-25,73.0199966430664,279.5,75.05,278.8,20923.94,313.68,340.36,368.26,67.93,314.12,132.0467566530597,-0.44,313.15,-0.53
2025-02-26,72.52999877929688,279.5,74.73,278.87,20839.96,313.15,339.83,367.73,67.93,313.68,131.60786730990583,-0.53,312.82,-0.33
2025-02-27,74.04000091552734,279.5,74.47,279.13,20786.81,312.82,339.5,367.4,67.93,313.15,131.07961720140642,-0.33,312.13,-0.69
2025-02-28,73.18000030517578,279.29998779296875,74.07,279.17,20678.12,312.13,338.81,366.71,67.93,312.82,130.74535087774473,-0.68,310.86,-1.27
2025-03-03,71.62000274658203,278.57373046875,73.37,279.08,20476.1,310.86,337.54,365.44,67.93,312.13,130.06171510878247,-1.27,310.05,-0.81
2025-03-04,71.04000091552734,279.5,72.89,279.14,20346.51,310.05,336.73,364.63,67.93,310.86,128.79103071320299,-0.82,308.75,-1.3
2025-03-05,69.30000305175781,279.6000061035156,72.1,279.35,20141.13,308.75,335.43,363.33,67.93,310.05,127.97596407253423,-1.29,307.88,-0.87
2025-03-06,69.45999908447266,279.5,71.6,279.35,20001.46,307.88,334.56,362.46,67.93,308.75,126.68416285608257,-0.88,307.26,-0.62
2025-03-07,70.36000061035156,278.3293762207031,71.29,279.19,19903.46,307.26,333.94,361.84,67.93,307.88,125.80563190701126,-0.62,306.02,-1.24
2025-03-10,69.27999877929688,278.8594055175781,70.61,279.09,19706.54,306.02,332.7,360.6,67.93,307.26,125.1891984879267,-1.24,305.14,-0.88
2025-03-11,69.55999755859375,279.8500061035156,70.09,279.17,19567.03,305.14,331.82,359.72,67.93,306.02,123.95066829363405,-0.88,304.96,-0.18
2025-03-12,70.94999694824219,278.404052734375,69.99,279.15,19537.71,304.96,331.64,359.54,67.93,305.14,123.07311478296968,-0.18,304.7,-0.26
2025-03-13,69.87999725341797,279.95001220703125,69.83,279.21,19497.23,304.7,331.38,359.28,67.93,304.96,122.88871731651014,-0.25,304.95,0.25
2025-03-14,70.58000183105469,278.4954528808594,70.01,279.06,19536.99,304.95,331.63,359.53,67.93,304.7,122.63414178517739,0.25,305.26,0.31
2025-03-17,71.06999969482422,277.9997253417969,70.24,278.84,19585.72,305.26,331.94,359.84,67.93,304.95,122.8842018529817,0.31,305.41,0.15
2025-03-18,70.55999755859375,279.95001220703125,70.27,279.07,19610.25,305.41,332.09,359.99,67.93,305.26,123.19071119022308,0.15,305.86,0.45
2025-03-19,70.77999877929688,280.0,70.48,279.24,19680.84,305.86,332.54,360.44,67.93,305.41,123.34498355211431,0.44,306.48,0.62
2025-03-20,72.0,280.0,70.83,279.26,19779.99,306.48,333.16,361.06,67.93,305.86,123.7889588456918,0.62,306.88,0.4
2025-03-21,72.16000366210938,280.0,71.0,279.49,19843.79,306.88,333.56,361.46,67.93,306.48,124.41259851434394,0.4,307.55,0.67
2025-03-24,73.0,278.043212890625,71.45,279.21,19949.55,307.55,334.23,362.13,67.93,306.88,124.81391560316253,0.67,308.27,0.72
2025-03-25,73.0199966430664,280.1000061035156,71.8,279.44,20063.79,308.27,334.95,362.85,67.93,307.55,125.47915552843942,0.72,309.08,0.81
2025-03-26,73.79000091552734,280.0,72.19,279.73,20193.71,309.08,335.76,363.66,67.93,308.27,126.19768911923616,0.82,309.95,0.87
2025-03-27,74.02999877929688,280.04998779296875,72.68,279.74,20331.5,309.95,336.63,364.53,67.93,309.08,127.01484209400769,0.87,310.67,0.72
2025-03-28,73.62999725341797,280.0,73.09,279.74,20446.2,310.67,337.35,365.25,67.93,309.95,127.88154503198376,0.72,311.08,0.41
